00100011101111011111111111110100,                10000
10101111101111110000000000000000,                20000
10101111101100010000000000000100,                30000
10101111101001000000000000001000,                40000
00101000100010000000000000000001,                50000
00010001000000000000000000001001,                60000
00100000100000100000000000000000,                70000
00001000000000000000000000001110,                80000
00100000100001001111111111111111,                90000
00001100000000000000000000000001,               100000
00100000010100010000000000000000,               110000
00100000100001001111111111111111,               120000
00001100000000000000000000000001,               130000
10001111101111110000000000000000,               140000
10001111101001000000000000001000,               150000
10001111101100010000000000000100,               160000
00100011101111010000000000001100,               170000
00000011111000000000000000001000,               180000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               190000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               200000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               210000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               220000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               230000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               240000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               250000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               260000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               270000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               280000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               290000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               300000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               310000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,               320000
00100011101111011111111111110100,                 1000
10101111101111110000000000000000,                 2000
10101111101100010000000000000100,                 3000
10101111101001000000000000001000,                 4000
00101000100010000000000000000001,                 5000
00010001000000000000000000001001,                 6000
00100000100000100000000000000000,                 7000
00001000000000000000000000001110,                 8000
00100000100001001111111111111111,                 9000
00001100000000000000000000000001,                10000
00100000010100010000000000000000,                11000
00100000100001001111111111111111,                12000
00001100000000000000000000000001,                13000
10001111101111110000000000000000,                14000
10001111101001000000000000001000,                15000
10001111101100010000000000000100,                16000
00100011101111010000000000001100,                17000
00000011111000000000000000001000,                18000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                19000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                20000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                21000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                22000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                23000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                24000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                25000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                26000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                27000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                28000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                29000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                30000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                31000
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,                32000
